country,primary_capacity_t_2012,secondary_capacity_t_2012,total_capacity_t_2012,primary_capacity_t_2013,secondary_capacity_t_2013,total_capacity_t_2013,primary_capacity_t_2014,secondary_capacity_t_2014,total_capacity_t_2014,primary_capacity_t_2015,secondary_capacity_t_2015,total_capacity_t_2015,primary_capacity_t_2016,secondary_capacity_t_2016,total_capacity_t_2016,primary_capacity_t_2017,secondary_capacity_t_2017,total_capacity_t_2017,primary_capacity_t_2018,secondary_capacity_t_2018,total_capacity_t_2018,primary_capacity_t_2019,secondary_capacity_t_2019,total_capacity_t_2019,primary_capacity_t_2020,secondary_capacity_t_2020,total_capacity_t_2020,primary_capacity_t_2021,secondary_capacity_t_2021,total_capacity_t_2021,primary_capacity_t_2022,secondary_capacity_t_2022,total_capacity_t_2022,primary_capacity_t_2023,secondary_capacity_t_2023,total_capacity_t_2023,primary_capacity_t_2024,secondary_capacity_t_2024,total_capacity_t_2024
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200,0,4200,4200
Algeria,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000
Argentina,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600,0,220600,220600
Australia,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000,405000,90000,495000
Austria,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000,0,33000,33000
Azerbaijan,0,0,0,0,0,0,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000
Belarus,0,12000,12000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000
Belgium,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000,0,275000,275000
Bolivia,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000,10000,10000,20000
Brazil,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000,0,305000,305000
Bulgaria,0,50000,50000,0,50000,50000,0,50000,50000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000,90000,50000,140000
Cameroon,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000
Canada,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500,106500,159000,265500
Chile,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
China,3756000,3080000,6836000,3856000,3080000,6936000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,3980000,7896000,3916000,4040000,7956000,3976000,4820000,8796000,4036000,6316000,10352000,4036000,7606000,11642000,4496000,7886000,12382000,4496000,8086000,12582000,4496000,8406000,12902000
Colombia,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000
Costa Rica,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000
Croatia,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000,0,8000,8000
Cuba,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000
Czech Republic,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000,0,45000,45000
Dominican Republic,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000
Egypt,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000,0,55000,55000
Estonia,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000
Ethiopia,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000
France,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000,0,89000,89000
Germany,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000,195000,340000,535000
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000,0,18000,18000
Greece,0,32000,32000,0,32000,32000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000,0,92000,92000
Guatemala,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
Honduras,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
Hungary,0,0,0,0,0,0,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000,0,14000,14000
India,210000,2446880,2656880,210000,2466880,2676880,210000,2466880,2676880,210000,2466880,2676880,210000,2466880,2676880,210000,2512380,2722380,210000,2512380,2722380,210000,2512380,2722380,210000,2512380,2722380,210000,2572380,2782380,210000,2572380,2782380,210000,2692380,2902380,210000,2732380,2942380
Indonesia,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000,0,96000,96000
Iran,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000,40000,40000,80000
Ireland,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000
Israel,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000,0,43000,43000
Italy,0,130000,130000,0,130000,130000,0,130000,130000,0,130000,130000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000,0,150000,150000
Japan,206000,212200,418200,206000,212200,418200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200,206000,227200,433200
Kazakhstan,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000,150000,45000,195000
Kenya,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000
Korea DPR,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000,112000,0,112000
"Korea, Republic of",380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000,380000,360000,740000
Lebanon,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000,0,32000,32000
Malaysia,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000,0,124000,124000
Mexico,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000,180000,518000,698000
Morocco,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000
Myanmar,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000,5000,25000,30000
Netherlands,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000,0,25000,25000
Nigeria,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000,30000,7000,37000
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,11000,0,11000,11000,0,11000,11000,0,11000,11000,0,11000,11000,0,11000,11000,0,11000,11000,0,11000,11000
Pakistan,0,0,0,0,0,0,0,0,0,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000,0,60000,60000
Paraguay,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000
Peru,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000,0,20000,20000
Philippines,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000,0,40000,40000
Poland,20000,79000,99000,20000,79000,99000,20000,149000,169000,20000,149000,169000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000,50000,149000,199000
Portugal,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
Romania,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000
Russian Federation,0,280500,280500,0,280500,280500,0,280500,280500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500,0,305500,305500
Saudi Arabia,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000,0,80000,80000
Serbia,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000,0,15000,15000
Slovakia,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000,0,12000,12000
Slovenia,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000,0,16000,16000
South Africa,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000,0,56000,56000
Spain,0,174000,174000,0,174000,174000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000,0,219000,219000
Sri Lanka,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000,0,10000,10000
Sudan,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000,0,6000,6000
Sweden,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000,35000,50000,85000
Taiwan (China),0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,70000,70000,0,120000,120000,0,120000,120000,0,120000,120000
Thailand,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000,0,188000,188000
Tunisia,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,30000,30000,0,42000,42000
UAE,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,28000,28000,0,42000,42000,0,64000,64000
Ukraine,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000,0,50000,50000
United Kingdom,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000,0,175000,175000
United States,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000,0,1028000,1028000
Uzbekistan,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000,0,13000,13000
Venezuela,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000,0,93000,93000
Vietnam,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000,0,65000,65000
Zambia,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000,0,3000,3000
Zimbabwe,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000,0,5000,5000
